agent,ipsource,ipdestination,tcpsourceport,tcpdestinationport,bytes,rate(bytes)
67.58.51.245,10.244.137.22,67.58.51.245,TCP:6801,TCP:51988,1341920000,22365300
67.58.51.233,10.244.167.177,67.58.51.230,TCP:6801,TCP:39360,1337760000,22296000
67.58.51.237,10.244.179.251,67.58.51.246,TCP:6801,TCP:58726,1325110000,22085200
67.58.51.239,10.244.158.219,10.244.73.230,TCP:51282,TCP:6802,1275440000,21257300
67.58.51.243,10.244.213.2,10.244.179.251,TCP:6802,TCP:42590,1272720000,21212000
67.58.51.245,10.244.1.231,10.244.194.68,TCP:6802,TCP:40262,1261070000,21017800
67.58.51.240,10.244.217.218,10.244.179.251,TCP:6802,TCP:53524,1260660000,21011000
67.58.51.231,10.244.156.249,10.244.113.27,TCP:6802,TCP:51122,1254710000,20911800
67.58.51.233,10.244.43.101,67.58.51.233,TCP:6801,TCP:37434,1253880000,20898000
67.58.51.247,10.244.53.157,67.58.51.247,TCP:6801,TCP:56644,1253880000,20898000
67.58.51.229,10.244.159.219,10.244.73.230,TCP:34976,TCP:6802,1253490000,20891500
67.58.51.231,10.244.156.249,10.244.129.197,TCP:6802,TCP:44732,1251640000,20860700
67.58.51.245,10.244.1.231,10.244.73.230,TCP:54178,TCP:6802,1251520000,20858700
67.58.51.227,10.244.129.197,10.244.137.22,TCP:6802,TCP:41706,1250690000,20844800
67.58.51.240,10.244.217.218,10.244.113.27,TCP:6802,TCP:50962,1250680000,20844700
67.58.51.244,10.244.113.27,10.244.156.249,TCP:51122,TCP:6802,1250680000,20844700
67.58.51.247,10.244.179.251,67.58.51.247,TCP:6801,TCP:54910,1250240000,20837300
67.58.51.236,10.244.149.211,10.244.56.177,TCP:6802,TCP:40244,1249720000,20828700
67.58.51.248,10.244.4.218,10.244.179.251,TCP:6802,TCP:43860,1249200000,20820000
67.58.51.227,10.244.43.101,67.58.51.227,TCP:6801,TCP:37016,1248180000,20803000
67.58.51.227,10.244.206.175,67.58.51.227,TCP:6801,TCP:51646,1248180000,20803000
67.58.51.237,10.244.179.251,67.58.51.247,TCP:6801,TCP:54910,1248160000,20802700
67.58.51.237,10.244.179.251,67.58.51.240,TCP:6801,TCP:39458,1248160000,20802700
67.58.51.248,10.244.4.218,67.58.51.233,TCP:6801,TCP:38782,1248160000,20802700
67.58.51.237,10.244.179.251,67.58.51.229,TCP:6801,TCP:60278,1248160000,20802700
67.58.51.243,10.244.213.2,67.58.51.230,TCP:6801,TCP:33754,1248160000,20802700
67.58.51.229,10.244.159.219,67.58.51.232,TCP:6801,TCP:38400,1248160000,20802700
67.58.51.229,10.244.159.219,67.58.51.247,TCP:6801,TCP:33952,1248160000,20802700
67.58.51.240,10.244.217.218,10.244.156.249,TCP:6802,TCP:40106,1248160000,20802700
67.58.51.230,10.244.107.143,67.58.51.233,TCP:6801,TCP:57854,1248160000,20802700
67.58.51.242,10.244.53.157,67.58.51.247,TCP:6801,TCP:56644,1248160000,20802700
67.58.51.241,10.244.206.175,67.58.51.244,TCP:6801,TCP:35040,1248160000,20802700
67.58.51.234,10.244.43.101,67.58.51.239,TCP:6801,TCP:38636,1248160000,20802700
67.58.51.246,10.244.56.177,67.58.51.232,TCP:6801,TCP:59904,1248160000,20802700
67.58.51.232,10.244.73.230,67.58.51.230,TCP:6801,TCP:46730,1248160000,20802700
67.58.51.234,10.244.43.101,67.58.51.230,TCP:6801,TCP:46690,1248160000,20802700
67.58.51.233,10.244.167.177,67.58.51.240,TCP:6801,TCP:48422,1248160000,20802700
67.58.51.236,10.244.149.211,67.58.51.239,TCP:6801,TCP:44288,1248160000,20802700
67.58.51.234,10.244.43.101,67.58.51.235,TCP:6801,TCP:40100,1248160000,20802700
67.58.51.233,10.244.167.177,67.58.51.247,TCP:6801,TCP:43320,1248160000,20802700
67.58.51.234,10.244.43.101,67.58.51.236,TCP:6801,TCP:33780,1248160000,20802700
67.58.51.236,10.244.149.211,67.58.51.242,TCP:6801,TCP:46412,1248160000,20802700
67.58.51.245,10.244.1.231,67.58.51.232,TCP:6801,TCP:35028,1248160000,20802700
67.58.51.235,10.244.129.197,67.58.51.244,TCP:6801,TCP:33512,1248160000,20802700
67.58.51.247,10.244.194.68,67.58.51.232,TCP:6801,TCP:51468,1248160000,20802700
67.58.51.236,10.244.149.211,67.58.51.233,TCP:6801,TCP:46882,1248160000,20802700
67.58.51.242,10.244.53.157,67.58.51.234,TCP:6801,TCP:58198,1248160000,20802700
67.58.51.231,10.244.156.249,67.58.51.233,TCP:6801,TCP:44636,1248160000,20802700
67.58.51.237,10.244.149.211,10.244.179.251,TCP:6802,TCP:37276,1221680000,20361300
67.58.51.232,10.244.73.230,10.244.4.218,TCP:6802,TCP:57014,1211310000,20188500
67.58.51.233,10.244.206.175,10.244.167.177,TCP:40090,TCP:6802,1169820000,19497000
67.58.51.235,10.244.4.218,10.244.129.197,TCP:6802,TCP:58572,1166280000,19438000
67.58.51.245,10.244.113.27,10.244.1.231,TCP:6802,TCP:43008,1165760000,19429300
67.58.51.244,10.244.179.251,10.244.113.27,TCP:42870,TCP:6802,1165240000,19420700
67.58.51.245,10.244.206.175,67.58.51.245,TCP:6801,TCP:34116,1164800000,19413300
67.58.51.245,10.244.59.48,67.58.51.245,TCP:6801,TCP:49346,1164800000,19413300
67.58.51.233,10.244.149.211,67.58.51.233,TCP:6801,TCP:46882,1164800000,19413300
67.58.51.232,10.244.107.143,67.58.51.232,TCP:6801,TCP:40364,1164280000,19404700
67.58.51.239,10.244.149.211,10.244.158.219,TCP:33218,TCP:6802,1163240000,19387300
67.58.51.229,10.244.1.231,67.58.51.229,TCP:6801,TCP:52504,1161160000,19352700
67.58.51.239,10.244.158.219,10.244.56.177,TCP:55570,TCP:6802,1149710000,19161800
